# Run complete. Total time: 06:38:31

Benchmark                                                                                                                                  (fileUnderTest)  Mode  Samples        Score        Error  Units
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_16Threads_DeqOnly                                       src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     3011.466 ±   1199.856  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_16Threads_DeqOnly                                      src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    19615.093 ±  13438.367  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_16Threads_DeqOnly                                     src/bench/benchCases/AscendingOrder_100000.txt  avgt       20   143146.247 ±  12032.505  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_16Threads_DeqOnly                                    src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20  1500936.787 ± 105938.087  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqAndDeqSimultaneously                       src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     5875.953 ±   2329.836  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqAndDeqSimultaneously                      src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    37944.863 ±  36410.374  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqAndDeqSimultaneously                     src/bench/benchCases/AscendingOrder_100000.txt  avgt       20   215296.800 ±  28408.626  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqAndDeqSimultaneously                    src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20  2293665.981 ± 165830.665  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqOnly                                       src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     5126.529 ±   1952.077  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqOnly                                      src/bench/benchCases/AscendingOrder_10000.txt  avgt       20     9536.881 ±   3269.413  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqOnly                                     src/bench/benchCases/AscendingOrder_100000.txt  avgt       20    53638.341 ±  13958.862  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqOnly                                    src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20   622032.090 ±  70243.618  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqThenDeq                                    src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     5898.425 ±   1622.293  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqThenDeq                                   src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    24998.712 ±  14436.702  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqThenDeq                                  src/bench/benchCases/AscendingOrder_100000.txt  avgt       20   222541.566 ±  46740.092  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqThenDeq                                 src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20  1958277.202 ±  71925.680  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_1Thread_DeqOnly                                         src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     5262.825 ±   8519.037  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_1Thread_DeqOnly                                        src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    11189.298 ±   3776.134  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_1Thread_DeqOnly                                       src/bench/benchCases/AscendingOrder_100000.txt  avgt       20   115934.042 ±  19863.203  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_1Thread_DeqOnly                                      src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20  1220108.797 ± 165896.522  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqAndDeqSimultaneously                         src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     4168.167 ±   1825.282  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqAndDeqSimultaneously                        src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    14039.863 ±   2047.844  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqAndDeqSimultaneously                       src/bench/benchCases/AscendingOrder_100000.txt  avgt       20   151147.471 ±  16637.895  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqAndDeqSimultaneously                      src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20  2214025.259 ± 443904.025  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqOnly                                         src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     4862.043 ±   1889.818  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqOnly                                        src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    11655.149 ±   3406.064  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqOnly                                       src/bench/benchCases/AscendingOrder_100000.txt  avgt       20    42432.572 ±  11394.200  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqOnly                                      src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20   767818.571 ± 502403.292  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqThenDeq                                      src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     8554.755 ±   3752.545  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqThenDeq                                     src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    20813.705 ±   4070.949  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqThenDeq                                    src/bench/benchCases/AscendingOrder_100000.txt  avgt       20   227417.681 ±  70479.890  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqThenDeq                                   src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20  1692170.941 ± 169593.926  us/op
